placer,design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s)
xplace_route,des_perf_b_md1,1441258.98,565707,23215,38.7302520275116,926
xplace_route,des_perf_b_md2,1541317.39,570038,21349,38.00692176818848,731
xplace_route,edit_dist_1_md1,4410966.935,875666,34527,44.215287923812866,1882
xplace_route,edit_dist_a_md2,5134226.82,946151,433578,45.541780948638916,1339
xplace_route,fft_2_md2,628922.525,204403,7711,20.853967905044556,1768
xplace_route,fft_a_md2,982295.115,195171,9768,24.087181091308594,833
xplace_route,fft_a_md3,972266.085,194047,10097,24.26651930809021,803
xplace_route,pci_bridge32_a_md1,371684.57,144064,5921,22.346116304397583,370
