threshold,delta_percent,base_threshold,perturbed_threshold,design,base_category,perturbed_category,rerun_verified_category,place_time_seconds,def_sha256,status
top1_mass,-10,0.20000000,0.18000000,mgc_matrix_mult_1,scalar,legacy,legacy,31.4466,59f5250e3a4f31329b9efedf47e933e44a6acb9fd6ba8095d44d9bf21783f4f1,verified
hv_imbalance,-10,3.00000000,2.70000000,mgc_matrix_mult_1,scalar,xy,xy,40.2536,70ffa0f36a0d47586749f0c0fca79be036f0cd7af487e3d2c16a4d2c47df87f0,verified
hv_imbalance,-10,3.00000000,2.70000000,mgc_superblue16_a,scalar,xy,xy,336.9540,266bfd01c176ccbb912a903e3ecb42e916675deb8a6a65e3cbf928f2a9662073,verified
hv_imbalance,-5,3.00000000,2.85000000,mgc_superblue16_a,scalar,xy,xy,340.8089,266bfd01c176ccbb912a903e3ecb42e916675deb8a6a65e3cbf928f2a9662073,verified
hv_imbalance,+5,3.00000000,3.15000000,mgc_matrix_mult_2,xy,scalar,scalar,38.3264,9617d8c8684e05ccbaeceacac283e7e7ca3b9fe4383a81fc128f0e7d0d86d09a,verified
hv_imbalance,+10,3.00000000,3.30000000,mgc_matrix_mult_2,xy,scalar,scalar,37.6574,9617d8c8684e05ccbaeceacac283e7e7ca3b9fe4383a81fc128f0e7d0d86d09a,verified
