threshold,base_value,total_decisions,changed_decisions,unchanged_decisions,stability_percent,changed_designs
strong_hotspot_mean,0.01000000,80,0,80,100.00,
top1_mass,0.20000000,80,1,79,98.75,mgc_matrix_mult_1
connected_total_mass,0.10000000,80,0,80,100.00,
hv_imbalance,3.00000000,80,5,75,93.75,mgc_matrix_mult_1;mgc_matrix_mult_2;mgc_superblue16_a
negative_probe_gain,-0.10000000,80,0,80,100.00,
