experiment,method,DRWL_avg_ratio_vs_E4,DRVias_avg_ratio_vs_E4,DRCs_avg_ratio_vs_E4,PT_avg_ratio_vs_E4,RT_avg_ratio_vs_E4
E2,Fixed Scalar,0.994484310126551,1.011981491501142,2.6170058595822763,1.0202003928245045,0.9965392779048955
E3,Static Selector,0.9976388678647663,1.0030574136288017,1.0468929790652877,1.031323901280429,0.9848870745133466
E4,RAOP,1.0,1.0,1.0,1.0,1.0
E5a,w/o Legacy,0.9969133330104001,1.0028885070623959,2.542787023186238,0.9525605379355498,1.01798296315691
E5b,w/o XY,0.9999321094094846,1.0001852797482917,1.0273258573307507,0.9746537268303663,1.0175608048792577
E5c,w/o No-Deflation,0.9976388678647663,1.0030574136288017,1.0468929790652877,1.0058456482849383,0.9858577262541781
