placer,design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s),def_sha256,run_status,innovus_source
E5c_full_minus_absolute_positive,mgc_des_perf_1,1441468.52,576482,11634,15.525031805038452,926,89af29e2626d78072e40fc2e3a04aeb1fb8e7acb98e28e2d92a2d9850b2a8748,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_des_perf_a,2292123.06,561656,8794,29.579392194747925,4226,f11448576c2dc36be94f9a92300edb3ccdc1d37c12e2fd8ff5a26a2cc39038ec,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_des_perf_b,1761879.375,535264,2097,16.4653,285,22f702b3ecb232175037564c577a22cb655d08176fa014ad62557d9a91aba0a3,complete_new_E5c,E5c_full_minus_absolute_positive
E5c_full_minus_absolute_positive,mgc_edit_dist_a,5681716.78,2005413,371272,38.2648286819458,1336,6f6537dd2f404e352b39bff30cef93f716fa552e750ded64dfc85e2b744495bd,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_fft_1,509482.42,181470,3458,19.749772310256958,392,da31d00df6237e0cfca870c243e693c3c4a607e1d5c9ee1aa9e572401469258d,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_fft_2,586555.445,184773,2306,19.917137622833252,416,4c70108845e311a310b7f0f65ecb63d612d4f977405fea36de37c36885b413a4,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_fft_a,1138283.535,190199,1348,20.821963787078857,638,525ad9c46bb8269cb2b14da55df42d727904f80f911fad598b058376feea5085,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_fft_b,1334635.685,214909,14132,23.88984251022339,549,69dc6464877e15ec74697b8c981d5bab210b6ed1089bff848bb681f00456ed56,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_matrix_mult_1,2608216.435,808984,13244,37.651981592178345,1903,0b65f80b96020cef5a22726fc3d719fdd30f3c199b7d25707ee8d6f5355339bc,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_matrix_mult_2,2678279.02,848555,13193,40.25788331031799,3057,99fb4aac6ff03e1a5ac8db45c6c8cfa9220b01d0db24c640201569cff4dec1b6,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_matrix_mult_a,3958079.865,836538,6839,34.16075253486633,3545,92e845c518d4286b5008be8b8f03dfd288584be68e989d8348b2d9d296302e1b,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_matrix_mult_b,3783267.995,786285,44549,27.613500356674194,774,d8ee549e1f27f8ba4bd8fda9c63547f22c1293552c82856f2d0275769eb0d79a,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_matrix_mult_c,3571710.655,771187,6493,25.200767040252686,1047,0a306c756f2b3e1063054f8e017a35303c0e9c17380a1c6c6428e7c82e5e21a7,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_pci_bridge32_a,624195.745,140333,2001,7.7134,1220,e799b7a7b4f589f0364fee44d21cd8c6d226798094fd429a855b80771075581b,complete_new_E5c,E5c_full_minus_absolute_positive
E5c_full_minus_absolute_positive,mgc_pci_bridge32_b,961345.85,141357,134,9.3959,78,4772492c8c7016d6f89e4fa0e26c561626b73b30be66eaed9bbce48ff460162e,complete_new_E5c,E5c_full_minus_absolute_positive
E5c_full_minus_absolute_positive,mgc_superblue11_a,41181313.709,5499516,846,335.6162486076355,3373,7bd0d347c5c7d5bacd6d9701168be5b731967bde0d41b337d78470c3cc693625,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_superblue12,44768453.316,10197888,8568,614.4497215747833,8578,daa1221d6c8812bc3d87a70a5d33a56b31a9a18b807ed9efe6f6c616ee9319ba,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_superblue14,28001262.599,4105734,325,283.4637358188629,3325,b33734ba904f7742ea09eb0836efe35d26897a7ad9f51fac8d74bb0cd1c0ecba,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_superblue16_a,31054616.037,4471494,2257,208.2124171257019,6893,880f872bac9e5787d55a829188a30ccc3504db24726b7d7b18ce523653cfc513,complete_reuse_E4,E4_Full_five-class_selector
E5c_full_minus_absolute_positive,mgc_superblue19,20739056.309,3421193,2307,275.98276710510254,2645,c5948424868620d46c58faf446f6939547881d9e4e1fd0aab1f6f278a64eee39,complete_reuse_E4,E4_Full_five-class_selector
