placer,design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s)
xplace_route,des_perf_b_md1,1445471.405,563574,22908,38.645739793777466,900
xplace_route,des_perf_b_md2,1544794.16,575638,21482,39.44215655326843,790
xplace_route,edit_dist_1_md1,4409994.63,899931,31577,45.130197525024414,2707
xplace_route,edit_dist_a_md2,5154351.53,946023,428571,46.93565607070923,1335
xplace_route,fft_2_md2,627262.395,204627,7554,20.705994129180908,1844
xplace_route,fft_a_md2,993856.94,193675,9846,24.93492865562439,824
xplace_route,fft_a_md3,987451.865,191981,9917,25.27470636367798,836
xplace_route,pci_bridge32_a_md1,368832.26,142949,5826,11.92047381401062,259
