placer,design,DRWL,#DRVias,#DRCs,place_design_time,DR Total Time (s)
xplace_route,des_perf_b_md1,1480190.195,571407,17273,13.284934282302856,920
xplace_route,des_perf_b_md2,1513532.05,569251,16357,8.613418579101562,703
xplace_route,edit_dist_1_md1,4474209.81,861469,43198,38.76393008232117,1945
xplace_route,edit_dist_a_md2,5564335.51,995548,357514,42.622475147247314,1395
xplace_route,fft_2_md2,625985.475,197606,11331,5.076868772506714,345
xplace_route,fft_a_md2,967666.53,192849,9723,6.67439603805542,893
xplace_route,fft_a_md3,1168880.775,196785,19392,8.1857271194458,787
xplace_route,pci_bridge32_a_md1,365884.685,140935,5761,4.412148475646973,329
